NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
120,13.4,12,13.4,13.43,13.2,14.4,9.2,9.2,8,9.4,4.63,9.6,5.8,8.4,4.2,4,4,8.8,3.6,3.4,6
121,9.4,14.3,14.2,12.4,8.6,16,7.4,5.8,9.4,10.2,2,6.6,4.6,10,3.6,4.9,4,10.4,2,2.8,6
122,11.2,13.2,9.6,11.6,9.8,12.4,10.8,7.8,9,6.2,3.2,6.8,6.2,7.4,3.4,4.2,3.4,8.4,3,4.6,5
123,10.4,12,13.4,12.4,10.2,11.6,6.2,6.6,8,9,4.4,6.8,6.2,8.2,3.8,4,4.4,8,3.4,0,3.4
124,9.8,12,12.2,12.2,10.8,11.9,6.7,7,8.8,8.9,3.4,6.7,4.4,7.6,2.8,3.2,3.3,8.8,4.1,2.3,4.3
125,9.6,9.4,8.8,14.4,8.8,13,11,6.4,5.4,8.8,5,7.2,8.2,8,3.2,4,0,9.4,1.6,2.8,5
126,11.2,4,15.4,13.6,13.6,12.6,6.8,8,4,10.4,3.8,9.4,4.4,7.8,3.2,0,5,9.8,4.2,2.4,4.8
127,9.8,12.2,13.4,11.8,11.2,13.2,7.4,6.4,8.2,9.2,3.2,7.4,5,8,3.4,4,4.2,8.6,3.8,2.4,5.2
128,12.6,10.8,12.8,13,12.2,12.4,8.6,8.8,8,8,4.4,9,5.6,7.2,3.8,2.8,4.8,8.6,3.2,3,5.2
129,12,11.8,15,12.8,10.6,13.2,7.6,7.6,7.8,11.2,5,7.4,5.6,9.2,4.4,4,3.8,7.8,3.2,2,4
130,11.4,11.8,12,13.2,11.6,11.2,7.4,8,6.8,12,3,8,4.2,7.4,3.4,5,0,10.2,3.6,3.2,3.8
131,12.6,12.8,12.6,12.4,10.9,10.5,8.1,9,8.2,10,3,7.4,5,7,3.6,4.6,2.6,9.4,3.5,3.1,3.5
132,11.4,10.2,9.2,11,12.6,13.4,8.6,7.8,7,6,3,8.6,4.2,8.6,3.6,3.2,3.2,8,4,4.4,4.8
133,13,11,14,13.2,12.6,12.7,9,8.8,7,10,3.2,9,6,7.7,4.2,4,4,10,3.6,3,5
134,11.8,0,12,13.8,11.4,13,8.4,7,0,7.8,4.6,7,6.4,7.6,4.8,0,4.2,9.2,4.4,2,5.4
