N298,AndreaNET298,PesoAndrea298,PopoAndrea298,GuapaNET298,PesoGuapa298,PopoGuapa298
195,13.8,420.9262366,42.09262366,11,447.1470577,44.71470577
196,13.8,420.9208072,42.09208072,11.7,443.822598,44.3822598
197,12.6,420.9348882,42.09348882,12.4,440.6686604,44.06686604
198,13.8,420.9746199,42.09746199,12.4,437.717157,43.7717157
199,14,421.0461427,42.10461427,12.4,435,43.5
200,13.6,421.1555969,42.11555969,11.7,432.5422058,43.25422058
201,13.8,421.3091229,42.13091229,12.6,430.3409883,43.03409883
202,13,421.5128611,42.15128611,11.8,428.3866653,42.83866653
203,12,421.7729518,42.17729518,11.4,426.669555,42.6669555
204,13.1,422.0955353,42.20955353,11.6,425.1799754,42.51799754
